index,dataset,n_base,dim,k,recall,p50_ms,p95_ms,qps,build_s,memory_mb,dist_comps,params
ivfpq,simplewiki_a25000_w100,97579,384,10,0.4463,0.2999790303874761,0.3953812614781782,3229.675890303606,6.257730832963716,4.316176,1986.542,nlist=1024 m=16 nprobe=8 rerank=0
ivfpq,simplewiki_a25000_w100,97579,384,10,0.4547,0.5353335000108927,0.702227116562426,1810.5484262318869,6.257730832963716,4.316176,2880.477,nlist=1024 m=16 nprobe=16 rerank=0
ivfpq,simplewiki_a25000_w100,97579,384,10,0.4586,1.016166526824236,1.3185122021241114,950.7980987955013,6.257730832963716,4.316176,4619.805,nlist=1024 m=16 nprobe=32 rerank=0
ivfpq,simplewiki_a25000_w100,97579,384,10,0.4595,1.958374516107142,2.341697324300185,497.2597576036616,6.257730832963716,4.316176,7865.704,nlist=1024 m=16 nprobe=64 rerank=0
ivfpq,simplewiki_a25000_w100,97579,384,10,0.7695,0.32545850262977183,0.41588954627513885,2990.9552809671654,6.257730832963716,154.19752,2086.542,nlist=1024 m=16 nprobe=8 rerank=100
ivfpq,simplewiki_a25000_w100,97579,384,10,0.8124,0.5622085009235889,0.7261291786562651,1723.566746504117,6.257730832963716,154.19752,2980.477,nlist=1024 m=16 nprobe=16 rerank=100
ivfpq,simplewiki_a25000_w100,97579,384,10,0.8347,1.0410415125079453,1.344713059370406,931.0636238778312,6.257730832963716,154.19752,4719.805,nlist=1024 m=16 nprobe=32 rerank=100
ivfpq,simplewiki_a25000_w100,97579,384,10,0.8425,2.0007709972560406,2.3772791493684053,488.1322658475432,6.257730832963716,154.19752,7965.704,nlist=1024 m=16 nprobe=64 rerank=100
ivfpq,simplewiki_a25000_w100,97579,384,10,0.5295,0.476332992548123,0.6307910021860152,2033.897467729512,9.161477749992628,5.87744,1986.542,nlist=1024 m=32 nprobe=8 rerank=0
ivfpq,simplewiki_a25000_w100,97579,384,10,0.547,0.8813954773359001,1.1754369508707896,1094.110084922617,9.161477749992628,5.87744,2880.477,nlist=1024 m=32 nprobe=16 rerank=0
ivfpq,simplewiki_a25000_w100,97579,384,10,0.5582,1.700895489193499,2.2409163881093264,567.5653880654168,9.161477749992628,5.87744,4619.805,nlist=1024 m=32 nprobe=32 rerank=0
ivfpq,simplewiki_a25000_w100,97579,384,10,0.563,3.3557705173734576,4.027657699771225,289.3499921566178,9.161477749992628,5.87744,7865.704,nlist=1024 m=32 nprobe=64 rerank=0
ivfpq,simplewiki_a25000_w100,97579,384,10,0.8042,0.5032919871155173,0.6629771116422488,1923.5702311473597,9.161477749992628,155.758784,2086.542,nlist=1024 m=32 nprobe=8 rerank=100
ivfpq,simplewiki_a25000_w100,97579,384,10,0.8664,0.9155000152532011,1.2253437656909225,1014.5228027812475,9.161477749992628,155.758784,2980.477,nlist=1024 m=32 nprobe=16 rerank=100
ivfpq,simplewiki_a25000_w100,97579,384,10,0.9072,1.7472289910074323,2.3024892376270145,549.994515943075,9.161477749992628,155.758784,4719.805,nlist=1024 m=32 nprobe=32 rerank=100
ivfpq,simplewiki_a25000_w100,97579,384,10,0.9271,3.4826874907594174,4.384382977150381,277.1567172375787,9.161477749992628,155.758784,7965.704,nlist=1024 m=32 nprobe=64 rerank=100
